input_id	dealiased_id	standard_id	short_id
doi:10.1093/database/baaa028	doi:10.1093/database/baaa028	doi:10.1093/database/baaa028	KjMg2xVu
doi:10.1093/bioinformatics/btz678	doi:10.1093/bioinformatics/btz678	doi:10.1093/bioinformatics/btz678	1CzlvuSd8
doi:10.1109/WIIAT.2008.56	doi:10.1109/WIIAT.2008.56	doi:10.1109/wiiat.2008.56	e1joZDxD
doi:10.18653/v1/N16-1030	doi:10.18653/v1/N16-1030	doi:10.18653/v1/n16-1030	z8ePeNWB
arup	arup	arup	ZcEVKRxz
pubmed:19268344	pubmed:19268344	pubmed:19268344	U9fKq6eD
pubmed:31254741	pubmed:31254741	pubmed:31254741	Hb1KGBGQ
pubmed:31909712	pubmed:31909712	pubmed:31909712	19mffHraw
logodraft	logodraft	logodraft	X2n6lQEs
logo	logo	logo	tR9Om5cA
